OpenJDK 64-Bit Server VM warning: Failed to reserve shared memory (errno = 22).
OpenJDK 64-Bit Server VM warning: Failed to reserve shared memory (errno = 1).
OpenJDK 64-Bit Server VM warning: Failed to reserve shared memory (errno = 1).
0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
34   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ubuntu/project_lg1/lg1/solr-4.10.2/example/contexts at interval 0
39   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ubuntu/project_lg1/lg1/solr-4.10.2/example/contexts/solr-jetty-context.xml
1605 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_i,generation=18}
4414 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 18
4452 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@4d151931[collection1] main
4458 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf
4459 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf}
4474 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf
4477 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf
4478 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResource  – Loaded initArgs {} for /rest/managed
4478 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
4478 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Initializing spell checkers
4483 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.spelling.DirectSolrSpellChecker  – init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
4489 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – No queryConverter defined, using default converter
4490 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SuggestComponent  – Initializing SuggestComponent
4491 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.spelling.suggest.SolrSuggester  – init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
4504 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.spelling.suggest.SolrSuggester  – Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
4505 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.QueryElevationComponent  – Loading QueryElevation from: /home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/conf/elevate.xml
4534 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.ReplicationHandler  – Commits will be reserved for  10000
4535 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@4d151931[collection1] main{StandardDirectoryReader(segments_i:42:nrt _9(4.10.2):C20/9:delGen=1 _a(4.10.2):C16)}
4588 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=52 
4589 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
4589 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Loading spell index for spellchecker: default
4589 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Loading spell index for spellchecker: wordbreak
4589 [searcherExecutor-6-thread-1] INFO  org.apache.solr.handler.component.SuggestComponent  – Loading suggester index for: mySuggester
4589 [searcherExecutor-6-thread-1] INFO  org.apache.solr.spelling.suggest.SolrSuggester  – reload()
4589 [searcherExecutor-6-thread-1] INFO  org.apache.solr.spelling.suggest.SolrSuggester  – build()
4619 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] Registered new searcher Searcher@4d151931[collection1] main{StandardDirectoryReader(segments_i:42:nrt _9(4.10.2):C20/9:delGen=1 _a(4.10.2):C16)}
4623 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: collection1
4631 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/home/ubuntu/project_lg1/lg1/solr-4.10.2/example
4631 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
4691 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
16143 [qtp550190826-15] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@7b0e6f6e[collection1] realtime
16145 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
16155 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_i,generation=18}
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_j,generation=19}
16155 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 19
16156 [qtp550190826-15] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@10e54d0e[collection1] main
16157 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@10e54d0e[collection1] main{StandardDirectoryReader(segments_i:44:nrt)}
16157 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
16160 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] Registered new searcher Searcher@10e54d0e[collection1] main{StandardDirectoryReader(segments_i:44:nrt)}
16162 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – end_commit_flush
16163 [qtp550190826-15] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [collection1] webapp=/solr path=/update/ params={commit=true} {deleteByQuery=*:* (-1496557714816368640),commit=} 0 78
16170 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – start commit{,optimize=true,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
16170 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – No uncommitted changes. Skipping IW.commit.
16171 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
16171 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – end_commit_flush
16171 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
16171 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – No uncommitted changes. Skipping IW.commit.
16172 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – SolrIndexSearcher has not changed - not re-opening: org.apache.solr.search.SolrIndexSearcher
16172 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – end_commit_flush
16172 [qtp550190826-15] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [collection1] webapp=/solr path=/update/ params={commit=true} {optimize=,commit=} 0 2
16300 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
16349 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_j,generation=19}
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_k,generation=20}
16350 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 20
16353 [qtp550190826-15] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@78330b87[collection1] main
16354 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@78330b87[collection1] main{StandardDirectoryReader(segments_i:46:nrt _b(4.10.2):C15)}
16354 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
16358 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] Registered new searcher Searcher@78330b87[collection1] main{StandardDirectoryReader(segments_i:46:nrt _b(4.10.2):C15)}
16358 [qtp550190826-15] INFO  org.apache.solr.update.UpdateHandler  – end_commit_flush
16358 [qtp550190826-15] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [collection1] webapp=/solr path=/update/ params={commit=true} {add=[nodes.node.1 (1496557714967363584), nodes.node.2 (1496557714990432256), nodes.node.3 (1496557714991480832), nodes.node.6 (1496557714993577984), nodes.node.7 (1496557714994626560), nodes.node.8 (1496557714995675136), nodes.node.9 (1496557714996723712), nodes.node.10 (1496557714997772288), nodes.node.11 (1496557714998820864), nodes.node.12 (1496557714999869440), ... (15 adds)],commit=} 0 101
1683131 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=7 
1846409 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=0 
1849713 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=0 
1866565 [qtp550190826-16] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
1926222 [qtp550190826-16] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
1966969 [qtp550190826-17] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
2116379 [qtp550190826-17] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=0 
2128048 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.45)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
2151566 [qtp550190826-16] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
2157650 [qtp550190826-16] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.45)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
2233439 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
2386304 [qtp550190826-18] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
2522811 [qtp550190826-15] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=1 
2576526 [qtp550190826-19] INFO  org.apache.solr.core.SolrCore  – [collection1] webapp=/solr path=/select/ params={fl=*+score&start=0&q=(3.39)&wt=json&fq=django_ct:(nodes.node)&rows=20} hits=1 status=0 QTime=0 
91165370 [qtp550190826-18] INFO  org.apache.solr.update.UpdateHandler  – start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
91165421 [qtp550190826-18] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_k,generation=20}
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/project_lg1/lg1/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_l,generation=21}
91165422 [qtp550190826-18] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 21
91165426 [qtp550190826-18] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@4caabc8c[collection1] main
91165427 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@4caabc8c[collection1] main{StandardDirectoryReader(segments_i:49:nrt _b(4.10.2):C15/10:delGen=1 _c(4.10.2):C17)}
91165427 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
91165432 [qtp550190826-18] INFO  org.apache.solr.update.UpdateHandler  – end_commit_flush
91165433 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [collection1] Registered new searcher Searcher@4caabc8c[collection1] main{StandardDirectoryReader(segments_i:49:nrt _b(4.10.2):C15/10:delGen=1 _c(4.10.2):C17)}
91165434 [qtp550190826-18] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [collection1] webapp=/solr path=/update/ params={commit=true} {add=[nodes.node.1 (1496653291678859264), nodes.node.6 (1496653291682004992), nodes.node.7 (1496653291684102144), nodes.node.9 (1496653291685150720), nodes.node.10 (1496653291688296448), nodes.node.13 (1496653291689345024), nodes.node.14 (1496653291698782208), nodes.node.15 (1496653291700879360), nodes.node.16 (1496653291707170816), nodes.node.17 (1496653291715559424), ... (17 adds)],commit=} 0 119
